Date,Race,Location,Distance,Course
26/06/2011,3,Sha Tin, 1400M ,Class 4 
26/06/2011,4,Sha Tin, 1400M ,Class 5 
26/06/2011,5,Sha Tin, 1200M ,Class 4 
26/06/2011,6,Sha Tin, 1600M ,Class 4 
26/06/2011,7,Sha Tin, 1200M ,Class 3 
26/06/2011,8,Sha Tin, 1000M ,Class 3 
26/06/2011,9,Sha Tin, 1600M ,Class 3 
26/06/2011,10,Sha Tin, 1400M ,Class 2 
01/07/2011,2,Sha Tin, 1200M ,Class 5 
01/07/2011,3,Sha Tin, 1650M ,Class 4 
01/07/2011,4,Sha Tin, 1200M ,Class 4 
01/07/2011,5,Sha Tin, 1200M ,Class 3 
01/07/2011,6,Sha Tin, 1400M ,Class 4 
01/07/2011,7,Sha Tin, 1800M ,Class 4 
01/07/2011,8,Sha Tin, 1200M ,Class 1 
01/07/2011,9,Sha Tin, 1800M ,Class 3 
01/07/2011,10,Sha Tin, 1400M ,Class 3 
01/07/2011,11,Sha Tin, 1650M ,Class 1 
06/07/2011,1,Happy Valley, 1650M ,Class 5 
06/07/2011,2,Happy Valley, 1000M ,Class 4 
06/07/2011,3,Happy Valley, 1200M ,Class 4 
06/07/2011,4,Happy Valley, 1650M ,Class 4 
06/07/2011,5,Happy Valley, 1650M ,Class 3 
06/07/2011,6,Happy Valley, 1200M ,Class 3 
06/07/2011,7,Happy Valley, 1200M ,Class 2 
06/07/2011,8,Happy Valley, 1800M ,Class 2 
10/07/2011,1,Sha Tin, 1600M ,Class 5 
10/07/2011,2,Sha Tin, 1200M ,Class 4 
10/07/2011,3,Sha Tin, 1400M ,Class 5 
10/07/2011,4,Sha Tin, 1600M ,Class 4 
10/07/2011,5,Sha Tin, 1800M ,Class 4 
10/07/2011,6,Sha Tin, 1400M ,Class 4 
10/07/2011,7,Sha Tin, 1600M ,Class 3 
10/07/2011,8,Sha Tin, 1200M ,Class 3 
10/07/2011,9,Sha Tin, 1400M ,Class 3 
10/07/2011,10,Sha Tin, 1600M ,Class 1 
10/07/2011,11,Sha Tin, 1400M ,Class 2 
11/09/2011,1,Sha Tin, 1200M ,Class 5 
11/09/2011,2,Sha Tin, 1400M ,Class 5 
11/09/2011,3,Sha Tin, 1200M ,Class 1 
11/09/2011,4,Sha Tin, 1600M ,Class 4 
11/09/2011,5,Sha Tin, 1200M ,Class 4 
11/09/2011,6,Sha Tin, 1400M ,Class 4 
11/09/2011,7,Sha Tin, 1400M ,Class 2 
11/09/2011,8,Sha Tin, 1000M ,Class 2 
11/09/2011,9,Sha Tin, 1200M ,Class 3 
11/09/2011,10,Sha Tin, 1400M ,Class 3 
14/09/2011,1,Happy Valley, 1200M ,Class 5 
14/09/2011,2,Happy Valley, 1650M ,Class 5 
14/09/2011,3,Happy Valley, 1000M ,Class 4 
14/09/2011,4,Happy Valley, 1200M ,Class 4 
14/09/2011,5,Happy Valley, 1650M ,Class 4 
14/09/2011,6,Happy Valley, 1000M ,Class 3 
14/09/2011,7,Happy Valley, 1650M ,Class 3 
14/09/2011,8,Happy Valley, 1200M ,Class 2 
18/09/2011,1,Sha Tin, 1600M ,Class 5 
18/09/2011,2,Sha Tin, 1200M ,Class 4 
18/09/2011,3,Sha Tin, 1000M ,Class 4 
18/09/2011,4,Sha Tin, 1200M ,Class 4 
18/09/2011,5,Sha Tin, 1400M ,Class 4 
18/09/2011,6,Sha Tin, 1600M ,Class 3 
18/09/2011,7,Sha Tin, 1400M ,Class 1 
18/09/2011,8,Sha Tin, 1200M ,Class 2 
18/09/2011,9,Sha Tin, 1200M ,Class 3 
18/09/2011,10,Sha Tin, 1200M ,Class 3 
21/09/2011,1,Happy Valley, 1650M ,Class 5 
21/09/2011,2,Happy Valley, 1650M ,Class 4 
21/09/2011,3,Happy Valley, 1650M ,Class 1 
21/09/2011,4,Happy Valley, 1000M ,Class 3 
21/09/2011,5,Happy Valley, 1650M ,Class 4 
21/09/2011,6,Happy Valley, 1200M ,Class 4 
21/09/2011,7,Happy Valley, 1650M ,Class 3 
21/09/2011,8,Happy Valley, 1200M ,Class 3 
25/09/2011,1,Sha Tin, 1200M ,Class 5 
25/09/2011,2,Sha Tin, 1800M ,Class 5 
25/09/2011,3,Sha Tin, 1000M ,Class 3 
25/09/2011,4,Sha Tin, 1200M ,Class 4 
25/09/2011,5,Sha Tin, 1650M ,Class 4 
25/09/2011,6,Sha Tin, 1400M ,Class 4 
25/09/2011,7,Sha Tin, 1600M ,Class 3 
25/09/2011,8,Sha Tin, 1200M ,Class 3 
25/09/2011,9,Sha Tin, 1400M ,Class 2 
25/09/2011,10,Sha Tin, 1400M ,Class 3 
28/09/2011,1,Happy Valley, 1650M ,Class 5 
28/09/2011,2,Happy Valley, 1800M ,Class 4 
28/09/2011,3,Happy Valley, 1000M ,Class 4 
28/09/2011,4,Happy Valley, 1650M ,Class 4 
28/09/2011,5,Happy Valley, 1200M ,Class 4 
28/09/2011,6,Happy Valley, 1200M ,Class 3 
28/09/2011,7,Happy Valley, 1650M ,Class 3 
28/09/2011,8,Happy Valley, 1000M ,Class 1 
01/10/2011,1,Sha Tin, 1400M ,Class 5 
01/10/2011,2,Sha Tin, 1600M ,Class 4 
01/10/2011,3,Sha Tin, 1200M ,Class 4 
01/10/2011,4,Sha Tin, 1400M ,Class 4 
01/10/2011,5,Sha Tin, 1000M ,Class 3 
01/10/2011,6,Sha Tin, 1600M ,Class 1 
01/10/2011,9,Sha Tin, 1400M ,Class 3 
01/10/2011,10,Sha Tin, 1800M ,Class 3 
06/10/2011,1,Happy Valley, 1000M ,Class 5 
06/10/2011,2,Happy Valley, 1800M ,Class 5 
06/10/2011,3,Happy Valley, 1200M ,Class 4 
06/10/2011,4,Happy Valley, 1200M ,Class 4 
06/10/2011,5,Happy Valley, 1650M ,Class 4 
06/10/2011,6,Happy Valley, 1200M ,Class 3 
06/10/2011,7,Happy Valley, 1200M ,Class 3 
06/10/2011,8,Happy Valley, 1650M ,Class 3 
09/10/2011,2,Sha Tin, 1200M ,Class 5 
09/10/2011,3,Sha Tin, 1600M ,Class 5 
09/10/2011,4,Sha Tin, 1200M ,Class 4 
09/10/2011,5,Sha Tin, 1600M ,Class 4 
09/10/2011,6,Sha Tin, 1400M ,Class 4 
09/10/2011,7,Sha Tin, 1200M ,Class 3 
09/10/2011,8,Sha Tin, 1600M ,Class 3 
09/10/2011,9,Sha Tin, 1650M ,Class 1 
09/10/2011,10,Sha Tin, 1200M ,Class 2 
09/10/2011,11,Sha Tin, 1400M ,Class 3 
12/10/2011,1,Happy Valley, 1650M ,Class 5 
12/10/2011,2,Happy Valley, 1000M ,Class 4 
12/10/2011,3,Happy Valley, 1650M ,Class 4 
12/10/2011,4,Happy Valley, 1200M ,Class 4 
12/10/2011,5,Happy Valley, 1800M ,Class 3 
12/10/2011,6,Happy Valley, 1650M ,Class 3 
12/10/2011,7,Happy Valley, 1200M ,Class 3 
12/10/2011,8,Happy Valley, 1650M ,Class 2 
16/10/2011,1,Sha Tin, 2000M ,Class 5 
16/10/2011,2,Sha Tin, 1000M ,Class 4 
16/10/2011,3,Sha Tin, 1800M ,Class 4 
16/10/2011,4,Sha Tin, 1200M ,Class 4 
16/10/2011,5,Sha Tin, 1200M ,Class 3 
16/10/2011,6,Sha Tin, 1400M ,Class 4 
16/10/2011,8,Sha Tin, 1400M ,Class 3 
16/10/2011,9,Sha Tin, 1600M ,Class 3 
16/10/2011,10,Sha Tin, 1400M ,Class 2 
19/10/2011,1,Sha Tin, 1650M ,Class 5 
19/10/2011,2,Sha Tin, 1200M ,Class 4 
19/10/2011,3,Sha Tin, 1200M ,Class 4 
19/10/2011,4,Sha Tin, 1650M ,Class 4 
19/10/2011,5,Sha Tin, 1200M ,Class 3 
19/10/2011,6,Sha Tin, 1650M ,Class 3 
19/10/2011,7,Sha Tin, 1200M ,Class 3 
19/10/2011,8,Sha Tin, 1200M ,Class 1 
23/10/2011,1,Happy Valley, 1200M ,Class 4 
23/10/2011,2,Happy Valley, 1650M ,Class 5 
23/10/2011,3,Happy Valley, 1000M ,Class 4 
23/10/2011,4,Happy Valley, 1650M ,Class 4 
23/10/2011,5,Happy Valley, 1800M ,Class 4 
23/10/2011,6,Happy Valley, 1200M ,Class 3 
23/10/2011,7,Happy Valley, 1000M ,Class 3 
23/10/2011,8,Happy Valley, 1650M ,Class 3 
23/10/2011,9,Happy Valley, 1200M ,Class 2 
23/10/2011,10,Happy Valley, 1650M ,Class 1 
26/10/2011,1,Happy Valley, 1200M ,Class 5 
26/10/2011,2,Happy Valley, 1650M ,Class 4 
26/10/2011,3,Happy Valley, 1200M ,Class 4 
26/10/2011,4,Happy Valley, 1800M ,Class 5 
26/10/2011,5,Happy Valley, 1200M ,Class 4 
26/10/2011,6,Happy Valley, 1200M ,Class 3 
26/10/2011,7,Happy Valley, 1800M ,Class 3 
26/10/2011,8,Happy Valley, 1650M ,Class 3 
30/10/2011,2,Sha Tin, 1400M ,Class 5 
30/10/2011,3,Sha Tin, 1200M ,Class 4 
30/10/2011,4,Sha Tin, 1800M ,Class 2 
30/10/2011,5,Sha Tin, 1400M ,Class 4 
30/10/2011,6,Sha Tin, 1600M ,Class 4 
30/10/2011,7,Sha Tin, 1600M ,Class 3 
30/10/2011,8,Sha Tin, 1200M ,Class 3 
30/10/2011,11,Sha Tin, 1400M ,Class 2 
05/11/2011,1,Sha Tin, 1200M ,Class 4 
05/11/2011,2,Sha Tin, 1600M ,Class 5 
05/11/2011,3,Sha Tin, 1000M ,Class 4 
05/11/2011,4,Sha Tin, 1800M ,Class 4 
05/11/2011,5,Sha Tin, 1400M ,Class 4 
05/11/2011,6,Sha Tin, 1400M ,Class 3 
05/11/2011,7,Sha Tin, 1200M ,Class 3 
05/11/2011,8,Sha Tin, 1000M ,Class 3 
05/11/2011,9,Sha Tin, 1800M ,Class 3 
05/11/2011,10,Sha Tin, 1650M ,Class 1 
09/11/2011,1,Happy Valley, 2200M ,Class 5 
09/11/2011,2,Happy Valley, 1200M ,Class 4 
09/11/2011,3,Happy Valley, 1650M ,Class 4 
09/11/2011,4,Happy Valley, 1200M ,Class 4 
09/11/2011,5,Happy Valley, 1000M ,Class 3 
09/11/2011,6,Happy Valley, 1650M ,Class 4 
09/11/2011,7,Happy Valley, 1650M ,Class 3 
09/11/2011,8,Happy Valley, 1800M ,Class 2 
13/11/2011,1,Sha Tin, 1200M ,Class 5 
13/11/2011,2,Sha Tin, 1200M ,Class 4 
13/11/2011,3,Sha Tin, 1600M ,Class 4 
13/11/2011,4,Sha Tin, 1400M ,Class 4 
13/11/2011,5,Sha Tin, 1650M ,Class 3 
13/11/2011,6,Sha Tin, 1400M ,Class 3 
13/11/2011,7,Sha Tin, 1200M ,Class 3 
13/11/2011,8,Sha Tin, 1400M ,Class 1 
13/11/2011,9,Sha Tin, 1600M ,Class 3 
13/11/2011,10,Sha Tin, 1200M ,Class 2 
16/11/2011,1,Happy Valley, 1650M ,Class 5 
16/11/2011,2,Happy Valley, 1000M ,Class 4 
16/11/2011,3,Happy Valley, 1650M ,Class 4 
16/11/2011,4,Happy Valley, 1200M ,Class 4 
16/11/2011,5,Happy Valley, 1800M ,Class 4 
16/11/2011,6,Happy Valley, 1200M ,Class 3 
16/11/2011,7,Happy Valley, 1200M ,Class 3 
16/11/2011,8,Happy Valley, 1800M ,Class 3 
20/11/2011,1,Sha Tin, 1400M ,Class 4 
20/11/2011,2,Sha Tin, 1800M ,Class 5 
20/11/2011,3,Sha Tin, 1200M ,Class 4 
20/11/2011,4,Sha Tin, 1400M ,Class 4 
20/11/2011,5,Sha Tin, 1200M ,Class 3 
20/11/2011,9,Sha Tin, 1400M ,Class 3 
20/11/2011,10,Sha Tin, 1600M ,Class 2 
23/11/2011,1,Happy Valley, 1000M ,Class 5 
23/11/2011,2,Happy Valley, 1650M ,Class 4 
23/11/2011,3,Happy Valley, 1650M ,Class 4 
23/11/2011,4,Happy Valley, 1200M ,Class 4 
23/11/2011,5,Happy Valley, 1200M ,Class 3 
23/11/2011,6,Happy Valley, 1200M ,Class 3 
23/11/2011,7,Happy Valley, 1650M ,Class 2 
23/11/2011,8,Happy Valley, 1650M ,Class 3 
27/11/2011,2,Sha Tin, 1000M ,Class 4 
27/11/2011,3,Sha Tin, 1400M ,Class 5 
27/11/2011,4,Sha Tin, 1400M ,Class 4 
27/11/2011,5,Sha Tin, 1200M ,Class 4 
27/11/2011,6,Sha Tin, 1600M ,Class 4 
27/11/2011,7,Sha Tin, 1800M ,Class 3 
27/11/2011,8,Sha Tin, 1200M ,Class 3 
27/11/2011,9,Sha Tin, 1400M ,Class 1 
27/11/2011,10,Sha Tin, 1000M ,Class 2 
27/11/2011,11,Sha Tin, 1400M ,Class 3 
30/11/2011,1,Happy Valley, 1000M ,Class 4 
30/11/2011,2,Happy Valley, 1800M ,Class 5 
30/11/2011,3,Happy Valley, 1200M ,Class 4 
30/11/2011,4,Happy Valley, 2200M ,Class 4 
30/11/2011,5,Happy Valley, 1000M ,Class 3 
30/11/2011,6,Happy Valley, 1200M ,Class 3 
30/11/2011,7,Happy Valley, 1650M ,Class 3 
30/11/2011,8,Happy Valley, 1000M ,Class 1 
04/12/2011,1,Sha Tin, 1650M ,Class 5 
04/12/2011,2,Sha Tin, 1000M ,Class 4 
04/12/2011,3,Sha Tin, 1200M ,Class 4 
04/12/2011,4,Sha Tin, 1650M ,Class 4 
04/12/2011,5,Sha Tin, 1400M ,Class 3 
04/12/2011,6,Sha Tin, 1400M ,Class 4 
04/12/2011,7,Sha Tin, 1200M ,Class 3 
04/12/2011,8,Sha Tin, 1000M ,Class 3 
04/12/2011,9,Sha Tin, 1650M ,Class 1 
04/12/2011,10,Sha Tin, 1800M ,Class 3 
07/12/2011,1,Happy Valley, 1200M ,Class 5 
07/12/2011,2,Happy Valley, 1200M ,Class 4 
07/12/2011,3,Happy Valley, 1650M ,Class 4 
07/12/2011,4,Happy Valley, 1650M ,Class 4 
07/12/2011,5,Happy Valley, 1200M ,Class 3 
07/12/2011,6,Happy Valley, 1650M ,Class 3 
07/12/2011,7,Happy Valley, 1650M ,Class 3 
07/12/2011,8,Happy Valley, 1800M ,Class 2 
11/12/2011,1,Sha Tin, 1600M ,Class 3 
11/12/2011,2,Sha Tin, 1200M ,Class 3 
11/12/2011,3,Sha Tin, 1400M ,Class 1 
11/12/2011,6,Sha Tin, 1400M ,Class 3 
11/12/2011,9,Sha Tin, 1200M ,Class 2 
11/12/2011,10,Sha Tin, 1600M ,Class 2 
14/12/2011,1,Happy Valley, 2200M ,Class 5 
14/12/2011,2,Happy Valley, 1200M ,Class 5 
14/12/2011,3,Happy Valley, 1800M ,Class 4 
14/12/2011,4,Happy Valley, 1200M ,Class 4 
14/12/2011,5,Happy Valley, 1650M ,Class 4 
14/12/2011,6,Happy Valley, 1000M ,Class 3 
14/12/2011,7,Happy Valley, 1650M ,Class 3 
14/12/2011,8,Happy Valley, 1200M ,Class 3 
17/12/2011,1,Sha Tin, 1200M ,Class 4 
17/12/2011,3,Sha Tin, 1600M ,Class 5 
17/12/2011,4,Sha Tin, 1400M ,Class 5 
17/12/2011,5,Sha Tin, 1000M ,Class 4 
17/12/2011,6,Sha Tin, 1600M ,Class 4 
17/12/2011,7,Sha Tin, 1400M ,Class 4 
17/12/2011,8,Sha Tin, 1000M ,Class 3 
17/12/2011,9,Sha Tin, 1800M ,Class 3 
17/12/2011,10,Sha Tin, 1400M ,Class 2 
17/12/2011,11,Sha Tin, 1400M ,Class 3 
21/12/2011,1,Happy Valley, 1000M ,Class 4 
21/12/2011,2,Happy Valley, 1650M ,Class 5 
21/12/2011,3,Happy Valley, 1200M ,Class 4 
21/12/2011,4,Happy Valley, 1650M ,Class 4 
21/12/2011,5,Happy Valley, 1650M ,Class 3 
21/12/2011,6,Happy Valley, 1200M ,Class 3 
21/12/2011,7,Happy Valley, 1200M ,Class 1 
21/12/2011,8,Happy Valley, 1650M ,Class 3 
27/12/2011,1,Sha Tin, 1000M ,Class 5 
27/12/2011,2,Sha Tin, 1200M ,Class 4 
27/12/2011,3,Sha Tin, 1200M ,Class 4 
27/12/2011,4,Sha Tin, 2200M ,Class 4 
27/12/2011,5,Sha Tin, 1400M ,Class 4 
27/12/2011,6,Sha Tin, 1650M ,Class 3 
27/12/2011,7,Sha Tin, 1200M ,Class 3 
27/12/2011,8,Sha Tin, 1400M ,Class 3 
27/12/2011,9,Sha Tin, 1000M ,Class 2 
27/12/2011,10,Sha Tin, 1800M ,Class 1 
01/01/2012,1,Sha Tin, 1400M ,Class 5 
01/01/2012,2,Sha Tin, 1800M ,Class 5 
01/01/2012,3,Sha Tin, 1200M ,Class 4 
01/01/2012,4,Sha Tin, 1200M ,Class 4 
01/01/2012,5,Sha Tin, 1400M ,Class 4 
01/01/2012,6,Sha Tin, 1600M ,Class 4 
01/01/2012,7,Sha Tin, 2000M ,Class 3 
01/01/2012,8,Sha Tin, 1200M ,Class 3 
01/01/2012,9,Sha Tin, 1600M ,Class 3 
01/01/2012,11,Sha Tin, 1600M ,Class 2 
04/01/2012,1,Happy Valley, 1200M ,Class 5 
04/01/2012,2,Happy Valley, 1200M ,Class 4 
04/01/2012,3,Happy Valley, 1800M ,Class 4 
04/01/2012,4,Happy Valley, 1650M ,Class 4 
04/01/2012,5,Happy Valley, 1200M ,Class 3 
04/01/2012,6,Happy Valley, 1000M ,Class 3 
04/01/2012,7,Happy Valley, 1650M ,Class 3 
04/01/2012,8,Happy Valley, 1650M ,Class 2 
08/01/2012,1,Sha Tin, 1200M ,Class 5 
08/01/2012,2,Sha Tin, 1000M ,Class 4 
08/01/2012,3,Sha Tin, 1600M ,Class 4 
08/01/2012,4,Sha Tin, 1600M ,Class 5 
08/01/2012,5,Sha Tin, 1200M ,Class 4 
08/01/2012,6,Sha Tin, 1400M ,Class 4 
08/01/2012,7,Sha Tin, 1200M ,Class 3 
08/01/2012,8,Sha Tin, 1000M ,Class 3 
08/01/2012,9,Sha Tin, 1400M ,Class 3 
08/01/2012,10,Sha Tin, 1400M ,Class 2 
11/01/2012,1,Happy Valley, 1000M ,Class 4 
11/01/2012,2,Happy Valley, 1800M ,Class 5 
11/01/2012,3,Happy Valley, 1650M ,Class 4 
11/01/2012,4,Happy Valley, 1650M ,Class 3 
11/01/2012,5,Happy Valley, 1200M ,Class 3 
11/01/2012,6,Happy Valley, 2200M ,Class 3 
11/01/2012,8,Happy Valley, 1200M ,Class 2 
15/01/2012,1,Sha Tin, 1200M ,Class 4 
15/01/2012,2,Sha Tin, 1600M ,Class 3 
15/01/2012,3,Sha Tin, 1200M ,Class 5 
15/01/2012,4,Sha Tin, 1800M ,Class 4 
15/01/2012,5,Sha Tin, 1400M ,Class 4 
15/01/2012,6,Sha Tin, 1650M ,Class 4 
15/01/2012,7,Sha Tin, 1200M ,Class 3 
15/01/2012,9,Sha Tin, 1200M ,Class 3 
15/01/2012,10,Sha Tin, 1600M ,Class 2 
18/01/2012,1,Happy Valley, 1650M ,Class 5 
18/01/2012,2,Happy Valley, 1200M ,Class 4 
18/01/2012,3,Happy Valley, 1200M ,Class 4 
18/01/2012,4,Happy Valley, 1650M ,Class 4 
18/01/2012,5,Happy Valley, 1000M ,Class 3 
18/01/2012,6,Happy Valley, 1650M ,Class 4 
18/01/2012,7,Happy Valley, 1200M ,Class 3 
18/01/2012,8,Happy Valley, 1650M ,Class 3 
21/01/2012,1,Sha Tin, 1650M ,Class 5 
21/01/2012,2,Sha Tin, 1400M ,Class 5 
21/01/2012,3,Sha Tin, 1000M ,Class 4 
21/01/2012,4,Sha Tin, 1200M ,Class 4 
21/01/2012,5,Sha Tin, 1400M ,Class 4 
21/01/2012,6,Sha Tin, 1600M ,Class 4 
21/01/2012,7,Sha Tin, 1000M ,Class 3 
21/01/2012,8,Sha Tin, 1650M ,Class 3 
21/01/2012,9,Sha Tin, 1200M ,Class 1 
21/01/2012,10,Sha Tin, 1400M ,Class 3 
25/01/2012,1,Sha Tin, 1200M ,Class 5 
25/01/2012,2,Sha Tin, 1200M ,Class 4 
25/01/2012,3,Sha Tin, 1400M ,Class 4 
25/01/2012,4,Sha Tin, 1200M ,Class 3 
25/01/2012,5,Sha Tin, 1800M ,Class 5 
25/01/2012,6,Sha Tin, 1400M ,Class 4 
25/01/2012,7,Sha Tin, 1600M ,Class 3 
25/01/2012,9,Sha Tin, 1400M ,Class 3 
25/01/2012,10,Sha Tin, 1400M ,Class 1 
25/01/2012,11,Sha Tin, 1800M ,Class 2 
29/01/2012,1,Sha Tin, 1600M ,Class 5 
29/01/2012,2,Sha Tin, 1200M ,Class 4 
29/01/2012,3,Sha Tin, 1200M ,Class 3 
29/01/2012,4,Sha Tin, 2000M ,Class 4 
29/01/2012,5,Sha Tin, 1600M ,Class 4 
29/01/2012,6,Sha Tin, 1400M ,Class 4 
29/01/2012,7,Sha Tin, 1800M ,Class 3 
29/01/2012,9,Sha Tin, 1400M ,Class 3 
29/01/2012,10,Sha Tin, 1200M ,Class 2 
01/02/2012,1,Happy Valley, 1800M ,Class 5 
01/02/2012,2,Happy Valley, 1000M ,Class 4 
01/02/2012,3,Happy Valley, 1650M ,Class 3 
01/02/2012,4,Happy Valley, 1200M ,Class 4 
01/02/2012,5,Happy Valley, 1650M ,Class 4 
01/02/2012,6,Happy Valley, 1200M ,Class 3 
01/02/2012,7,Happy Valley, 1000M ,Class 3 
01/02/2012,8,Happy Valley, 1800M ,Class 2 
05/02/2012,1,Sha Tin, 1200M ,Class 5 
05/02/2012,2,Sha Tin, 1600M ,Class 4 
05/02/2012,3,Sha Tin, 1400M ,Class 3 
05/02/2012,4,Sha Tin, 1400M ,Class 5 
05/02/2012,5,Sha Tin, 1200M ,Class 4 
05/02/2012,6,Sha Tin, 1400M ,Class 4 
05/02/2012,7,Sha Tin, 1200M ,Class 3 
05/02/2012,9,Sha Tin, 1600M ,Class 3 
05/02/2012,10,Sha Tin, 1600M ,Class 2 
08/02/2012,1,Happy Valley, 1000M ,Class 5 
08/02/2012,2,Happy Valley, 1650M ,Class 4 
08/02/2012,3,Happy Valley, 1200M ,Class 4 
08/02/2012,4,Happy Valley, 1800M ,Class 4 
08/02/2012,5,Happy Valley, 1200M ,Class 3 
08/02/2012,6,Happy Valley, 1800M ,Class 3 
08/02/2012,7,Happy Valley, 1650M ,Class 3 
08/02/2012,8,Happy Valley, 1000M ,Class 1 
11/02/2012,1,Sha Tin, 1800M ,Class 5 
11/02/2012,2,Sha Tin, 1200M ,Class 4 
11/02/2012,4,Sha Tin, 1000M ,Class 4 
11/02/2012,5,Sha Tin, 1400M ,Class 4 
11/02/2012,6,Sha Tin, 1650M ,Class 4 
11/02/2012,7,Sha Tin, 1000M ,Class 3 
11/02/2012,8,Sha Tin, 1200M ,Class 3 
11/02/2012,9,Sha Tin, 1400M ,Class 1 
11/02/2012,10,Sha Tin, 1400M ,Class 2 
15/02/2012,1,Happy Valley, 1200M ,Class 5 
15/02/2012,2,Happy Valley, 1650M ,Class 5 
15/02/2012,3,Happy Valley, 1200M ,Class 4 
15/02/2012,5,Happy Valley, 1650M ,Class 4 
15/02/2012,6,Happy Valley, 1200M ,Class 3 
15/02/2012,7,Happy Valley, 1650M ,Class 3 
15/02/2012,8,Happy Valley, 1650M ,Class 2 
19/02/2012,1,Sha Tin, 1800M ,Class 4 
19/02/2012,2,Sha Tin, 1650M ,Class 5 
19/02/2012,3,Sha Tin, 1200M ,Class 3 
19/02/2012,4,Sha Tin, 1200M ,Class 4 
19/02/2012,5,Sha Tin, 1400M ,Class 4 
19/02/2012,6,Sha Tin, 1650M ,Class 2 
19/02/2012,7,Sha Tin, 1800M ,Class 3 
19/02/2012,9,Sha Tin, 1200M ,Class 2 
19/02/2012,10,Sha Tin, 1600M ,Class 3 
22/02/2012,1,Happy Valley, 2200M ,Class 5 
22/02/2012,2,Happy Valley, 1650M ,Class 5 
22/02/2012,3,Happy Valley, 1000M ,Class 3 
22/02/2012,4,Happy Valley, 1000M ,Class 4 
22/02/2012,5,Happy Valley, 1200M ,Class 4 
22/02/2012,6,Happy Valley, 1650M ,Class 4 
22/02/2012,7,Happy Valley, 1200M ,Class 3 
22/02/2012,8,Happy Valley, 1650M ,Class 3 
26/02/2012,1,Sha Tin, 1200M ,Class 4 
26/02/2012,2,Sha Tin, 1600M ,Class 4 
26/02/2012,3,Sha Tin, 1000M ,Class 3 
26/02/2012,4,Sha Tin, 1200M ,Class 5 
26/02/2012,5,Sha Tin, 1200M ,Class 4 
26/02/2012,6,Sha Tin, 1400M ,Class 4 
26/02/2012,8,Sha Tin, 1400M ,Class 3 
26/02/2012,9,Sha Tin, 1200M ,Class 3 
26/02/2012,10,Sha Tin, 1400M ,Class 2 
29/02/2012,1,Happy Valley, 2200M ,Class 4 
29/02/2012,2,Happy Valley, 1650M ,Class 5 
29/02/2012,3,Happy Valley, 1200M ,Class 4 
29/02/2012,4,Happy Valley, 1800M ,Class 3 
29/02/2012,5,Happy Valley, 1650M ,Class 1 
29/02/2012,6,Happy Valley, 1650M ,Class 3 
04/03/2012,1,Sha Tin, 1400M ,Class 5 
04/03/2012,2,Sha Tin, 1600M ,Class 4 
04/03/2012,3,Sha Tin, 1200M ,Class 4 
04/03/2012,4,Sha Tin, 1400M ,Class 4 
04/03/2012,5,Sha Tin, 1200M ,Class 3 
04/03/2012,6,Sha Tin, 1000M ,Class 2 
04/03/2012,8,Sha Tin, 1400M ,Class 3 
04/03/2012,9,Sha Tin, 1800M ,Class 3 
04/03/2012,10,Sha Tin, 1800M ,Class 1 
07/03/2012,1,Happy Valley, 1200M ,Class 5 
07/03/2012,2,Happy Valley, 1800M ,Class 5 
07/03/2012,3,Happy Valley, 1000M ,Class 3 
07/03/2012,4,Happy Valley, 1800M ,Class 4 
07/03/2012,5,Happy Valley, 1200M ,Class 4 
07/03/2012,6,Happy Valley, 1650M ,Class 4 
07/03/2012,7,Happy Valley, 1200M ,Class 3 
07/03/2012,8,Happy Valley, 1650M ,Class 3 
10/03/2012,1,Sha Tin, 1200M ,Class 5 
10/03/2012,2,Sha Tin, 1000M ,Class 4 
10/03/2012,3,Sha Tin, 1000M ,Class 3 
10/03/2012,4,Sha Tin, 1400M ,Class 4 
10/03/2012,5,Sha Tin, 1200M ,Class 4 
10/03/2012,6,Sha Tin, 1600M ,Class 3 
10/03/2012,7,Sha Tin, 1600M ,Class 2 
10/03/2012,9,Sha Tin, 1200M ,Class 1 
10/03/2012,10,Sha Tin, 1400M ,Class 3 
14/03/2012,1,Happy Valley, 1000M ,Class 4 
14/03/2012,2,Happy Valley, 1650M ,Class 5 
14/03/2012,4,Happy Valley, 1650M ,Class 4 
14/03/2012,5,Happy Valley, 1650M ,Class 2 
14/03/2012,6,Happy Valley, 1650M ,Class 3 
14/03/2012,7,Happy Valley, 1800M ,Class 3 
14/03/2012,8,Happy Valley, 1200M ,Class 3 
18/03/2012,1,Sha Tin, 1200M ,Class 5 
18/03/2012,2,Sha Tin, 1800M ,Class 4 
18/03/2012,3,Sha Tin, 1400M ,Class 3 
18/03/2012,4,Sha Tin, 1200M ,Class 4 
18/03/2012,5,Sha Tin, 1400M ,Class 4 
18/03/2012,6,Sha Tin, 1200M ,Class 3 
18/03/2012,9,Sha Tin, 1600M ,Class 3 
18/03/2012,10,Sha Tin, 1200M ,Class 2 
21/03/2012,1,Sha Tin, 1800M ,Class 5 
21/03/2012,2,Sha Tin, 1200M ,Class 4 
21/03/2012,3,Sha Tin, 1200M ,Class 4 
21/03/2012,4,Sha Tin, 1650M ,Class 4 
21/03/2012,5,Sha Tin, 1200M ,Class 3 
21/03/2012,6,Sha Tin, 1650M ,Class 3 
21/03/2012,7,Sha Tin, 1200M ,Class 3 
